POST_CODE,CITY_CODE,CITY_NAME,PROV_CODE,ZONE_CODE,COMP_NAME,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY
T4V4S9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0A2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0A3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0A4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0A5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0A6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0A7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0A8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0A9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0B1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0B2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0B3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0B4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0B5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0B6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0B7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0B8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0B9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0C1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0C2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0C3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0C4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0C5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0C6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0C7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0C8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0C9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0E1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0E2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0E3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0E4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0E6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0E7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0E8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0E9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0G1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0G2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0G4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0G5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0G6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0G7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0G8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
